,popularity,vote_count,video,poster_path,id,adult,backdrop_path,original_language,original_title,genre_ids,title,vote_average,overview,release_date
47,99.032,304,False,/u50NAzMDBxTBP0CwmuUmBUkxW05.jpg,593402,False,/5QuRbno7OLgXi9bz5YXKrtn3vFH.jpg,it,Tolo Tolo,[35],Tolo Tolo,6.4,"Checco is a young Apulian entrepreneur dreamer who has opened a sushi restaurant in his Apulia. However, after one month, the restaurant went bankrupt and he chose to emigrate to Africa to escape from debt. Here he adapts to being a waiter in a resort in Kenya, but at the outbreak of a civil war he decides to embark on a stowaway trip on a boat for migrants to Europe and chooses to do it with his African friends. However, he would not like to return to Italy, but rather to go to Liechtenstein where banking secrecy is in force and there is a lower tax burden than in Italy.",2020-01-01
48,123.884,1072,False,/uTALxjQU8e1lhmNjP9nnJ3t2pRU.jpg,453405,False,/sfW7GcOuwZFuCxVoU5ULlkiDJ7Q.jpg,en,Gemini Man,"[28, 53]",Gemini Man,5.8,"Ageing assassin, Henry Brogen tries to get out of the business but finds himself in the ultimate battle—fighting his own clone who is 25 years younger than him, and at the peak of his abilities.",2019-10-02
49,123.831,42,False,/eU0orGizEpOli4wtN8HtfOOJDlA.jpg,516700,False,/mlaX4c2M6usnhXHG5sYJcKVXflA.jpg,id,Gundala,"[28, 80, 18]",Gundala,5.4,"Sancaka has lived on the streets since his parents left him. Living a hard life, Sancaka survives by thinking about his own safety. When the condition of the city gets worse and injustice rages throughout the country, Sancaka must decide whether he continues to live to look after himself or rise to become their oppressed hero.",2019-08-29
50,98.87,3816,False,/8j58iEBw9pOXFD2L0nt0ZXeHviB.jpg,466272,False,/yB2hTgz9CTVYjlMWPSl3LPx5nWj.jpg,en,Once Upon a Time… in Hollywood,"[35, 18, 53]",Once Upon a Time… in Hollywood,7.5,"Los Angeles, 1969. TV star Rick Dalton, a struggling actor specializing in westerns, and stuntman Cliff Booth, his best friend, try to survive in a constantly changing movie industry. Dalton is the neighbor of the young and promising actress and model Sharon Tate, who has just married the prestigious Polish director Roman Polanski…",2019-07-25
51,83.628,1332,False,/pThyQovXQrw2m0s9x82twj48Jq4.jpg,546554,False,/cjTQSwcsfVdirSFSHNBXRGkxmWa.jpg,en,Knives Out,"[35, 80, 18, 9648, 53]",Knives Out,7.8,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death.",2019-11-27
52,94.124,2252,False,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,496243,False,/TU9NIjwzjoKPwQHoHshkFcQUCG.jpg,ko,기생충,"[35, 18, 53]",Parasite,8.6,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",2019-05-30
53,75.484,1156,False,/lnWkyG3LLgbbrIEeyl5mK5VRFe4.jpg,509967,False,/eFw5YSorHidsajLTayo1noueIxI.jpg,en,6 Underground,"[28, 35, 53]",6 Underground,6.2,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",2019-12-13
54,67.361,77,False,/MBiKqTsouYqAACLYNDadsjhhC0.jpg,486589,False,/bga3i5jcejBekr2FCGJga1fYCh.jpg,en,Red Shoes and the Seven Dwarfs,"[16, 10749]",Red Shoes and the Seven Dwarfs,6.5,"Princes who have been turned into Dwarfs seek the red shoes of a lady in order to break the spell, although it will not be easy.",2019-07-25
55,68.862,982,False,/dtRbVsUb5O12WWO54SRpiMtHKC0.jpg,338967,False,/3ghImmHdp4RnC3UkL6hpLayclnb.jpg,en,Zombieland: Double Tap,"[28, 35, 27]",Zombieland: Double Tap,7.0,"Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.",2019-10-09
56,84.939,823,False,/6ApDtO7xaWAfPqfi2IARXIzj8QS.jpg,359724,False,/mn9k8zapebAbCqsiKf24juhXjjx.jpg,en,Ford v Ferrari,"[28, 18, 36]",Ford v Ferrari,7.8,"American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966.",2019-11-13
